ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),SOUND LEVEL (dB)
-9.575,0.042,-0.157,-9.803,0.076,-0.245,0.107,-0.033,0.085,0.1,-0.6,0.2,2.863,37,-26,36.7,234.5,-0.4,91.4,56.56
-9.673,0.044,-0.276,-9.804,0.08,-0.223,0.017,0.009,0.148,0.5,-1.4,0.5,2.863,36.9,-26,37,234.6,-0.5,91.3,51.85
-9.633,-0.029,-0.041,-9.805,0.059,-0.19,0.042,-0.087,0.147,0.6,-0.9,-2.2,2.863,36.7,-26,37,234.6,-0.3,91.1,51.85
-9.635,0.206,-0.593,-9.804,0.016,-0.242,0.032,0.191,-0.354,0.4,0.7,-0.9,2.863,36.5,-26.1,37.1,234.4,-0.1,91.1,51.85
-9.623,0.059,-0.157,-9.804,0.018,-0.222,0.039,0.041,0.061,0.2,-2.9,0.4,3.116,36.4,-25.7,37.5,235.1,-0.1,91.3,51.85
-9.618,0.052,0.005,-9.806,0.027,-0.139,-0.055,0.051,0.289,0.1,-1.4,-0.8,3.116,36.4,-25.5,37.6,236.4,-0.2,90.8,47.11
-9.618,-0.029,-0.164,-9.806,0.009,-0.094,0.041,-0.038,-0.072,0.1,0.5,-1.5,3.2,37,-25.7,37.9,235.4,-0.1,90.6,47.11
-9.571,-0.001,0.052,-9.806,0,-0.076,-0.016,0.009,0.101,-0.1,-0.1,0.1,3.2,37,-25.7,38.1,235.4,0,90.4,47.11
-9.661,-0.029,0.066,-9.806,-0.004,-0.059,-0.009,-0.025,0.125,-0.1,3.7,-0.2,3.2,37.4,-25.3,38,236.5,0,90.3,41.94
-9.702,0.073,-0.129,-9.805,-0.001,-0.172,-0.004,0.015,-0.412,0.2,6.8,0.4,3.116,37.3,-25.4,38.2,236.2,0,91,41.94
-9.661,-0.039,-0.186,-9.805,0.005,-0.186,-0.003,-0.044,-0.003,-0.1,-2.6,-1,2.863,36.8,-25.3,38.2,236.2,0,91.1,41.94
-9.668,-0.056,-0.017,-9.806,-0.01,-0.129,-0.009,-0.045,0.11,0.1,-4.9,-0.6,2.863,36.8,-25.6,38,235.2,0.1,90.8,48.03
-9.861,0.009,-0.064,-9.807,0.002,-0.025,-0.184,0.007,-0.04,0.2,-2.8,0.1,2.526,37,-25.7,37.7,235.6,0,90.1,48.03
-9.575,-0.039,-0.203,-9.807,-0.008,-0.026,0.09,-0.031,-0.177,1.1,-1,-1.1,2.695,37.6,-25.9,37.4,234.8,0,90.2,48.03
-9.664,0.021,0.607,-9.805,-0.036,0.161,0.004,0.056,0.448,3.9,-9.4,-0.1,2.947,38.5,-25.9,36.4,234.5,0.2,89.1,57.96
-9.737,-0.075,0.019,-9.804,-0.044,0.224,-0.064,-0.031,-0.202,2,-6.1,-0.8,2.947,39.2,-25.7,36.1,234.6,0.3,88.7,57.96
-9.69,-0.082,0.164,-9.8,-0.078,0.359,-0.023,-0.004,-0.19,4.9,-10.6,-0.9,2.947,40.6,-25.3,35.2,235.2,0.5,87.9,57.96
-9.714,-0.048,0.628,-9.792,-0.083,0.537,-0.048,0.034,0.098,9.9,-18.2,-1.3,2.947,41.5,-24.9,34.9,235.7,0.5,86.9,68.85
-9.564,-0.013,1.14,-9.76,-0.086,0.954,0.052,0.072,0.2,12.2,-14.3,-1,3.284,43.4,-24.5,34.1,236.3,0.5,84.4,68.85
-9.578,-0.044,1.026,-9.744,-0.078,1.1,0.02,0.033,-0.058,13.3,-12.3,-0.9,3.284,44.3,-24.2,33.8,237.9,0.5,83.6,68.85
-9.661,-0.101,1.469,-9.706,-0.057,1.403,-0.09,-0.045,0.085,9.9,-11.8,-1.7,3.705,46.3,-23.3,32.9,239.4,0.3,81.8,68.85
-9.44,-0.141,1.478,-9.687,-0.063,1.526,0.112,-0.079,-0.027,8.7,-9.8,-1.8,3.789,47.4,-22.9,32.7,239.8,0.4,81,71.17
-9.418,-0.029,1.718,-9.639,-0.054,1.803,0.082,0.024,-0.059,11.7,-13,-0.9,3.789,48.9,-22,32.2,241.2,0.3,79.4,71.17
-9.392,-0.008,1.876,-9.61,-0.033,1.952,0.07,0.025,-0.046,11.6,-14,-0.3,3.789,49.3,-21.6,31.9,241.7,0.2,78.5,71.17
-9.487,0.104,2.166,-9.542,0.012,2.263,-0.085,0.092,-0.064,11.5,-14.4,-2.2,4.547,50.4,-20.6,32.2,243.9,-0.1,76.7,69.43
-9.195,0.063,2.252,-9.505,0.025,2.412,0.151,0.039,-0.12,12.3,-14.1,-2.1,4.463,50.8,-20.3,32.3,245.5,-0.1,75.8,69.43
-9.28,0.185,2.735,-9.418,0.093,2.733,0.001,0.093,0.041,13.2,-12.8,-2.4,4.463,51.8,-19.5,32.6,248,-0.5,73.8,69.43
-9.311,0.059,2.542,-9.387,0.098,2.835,-0.062,-0.037,-0.252,14.7,-11.6,-4,5.221,52.1,-19,32.9,248.3,-0.6,73.2,70.01
-9.09,0.144,2.866,-9.288,0.128,3.145,0.05,0.019,-0.229,18.2,-21.4,-3.5,5.305,53,-17.9,34.1,250.4,-0.7,71.3,70.01
-8.907,0.285,2.93,-9.199,0.175,3.392,0.117,0.113,-0.398,23.4,-32.3,-4.6,5.642,53.5,-17.2,34.7,252.4,-1,69.8,70.01
-8.695,0.342,3.911,-8.887,0.245,4.138,-0.003,0.102,-0.137,28.9,-36.3,-11.5,5.642,54.6,-15.5,34.6,255.6,-1.4,65,74.15
-8.435,0.278,3.896,-8.727,0.265,4.465,0.096,0.019,-0.468,24.5,-29.3,-9.6,6.063,55.3,-14.7,34,255.7,-1.5,62.9,74.15
-8.183,0.373,5.132,-8.421,0.342,5.015,0.053,0.038,0.227,19.3,-25,-8.7,6.905,56.6,-13.6,32.5,257.4,-2,59.2,74.15
-8.152,0.318,5.253,-8.287,0.354,5.232,-0.046,-0.028,0.135,15.2,-20.4,-9.1,6.905,57.4,-12.9,31.3,258.2,-2.1,57.7,74.15
-7.897,0.397,5.291,-8.095,0.366,5.523,0.023,0.039,-0.112,15.6,-11.6,-10.9,7.663,58.7,-12,27.3,259.1,-2.1,55.7,69.94
-7.771,0.399,5.36,-7.997,0.362,5.665,0.051,0.045,-0.18,20.1,-20.1,-14.3,8.168,59,-11.5,25.4,258.8,-2.1,54.7,69.94
-7.317,0.528,5.758,-7.622,0.411,6.157,0.114,0.127,-0.245,24.8,-36.9,-14.2,9.011,60.3,-10,21.8,261.1,-2.4,51.1,69.94
-6.757,0.682,6.677,-7.308,0.479,6.522,0.366,0.215,0.319,32.2,-47.9,-17.3,9.011,60.7,-8.9,19.7,262.4,-2.8,48.3,70.52
-6,0.687,7.35,-6.512,0.643,7.304,0.352,0.06,0.225,34.3,-50.9,-30.5,9.937,61.3,-7,14.2,264.8,-3.8,41.7,70.52
-5.786,0.825,8.138,-6.094,0.699,7.652,0.163,0.143,0.668,35.2,-47.4,-33.2,11.789,61.8,-5.8,11,266,-4.1,38.5,70.52
-5.738,0.575,8.007,-5.626,0.689,8.003,-0.238,-0.098,0.184,14.5,-7.2,-24,14.821,64.6,-2.8,1.4,269.5,-4,35.1,66.86
-5.838,0.471,7.405,-5.63,0.663,8.002,-0.336,-0.177,-0.416,9.7,3.3,-17.4,14.821,66.5,-1.1,-4.3,272,-3.9,35.1,66.86
-5.479,0.768,8.257,-5.392,0.691,8.162,-0.207,0.093,0.276,14.6,-23.6,-15.3,15.663,68.3,0.2,-10.3,273.6,-3.9,34.8,66.86
-5.172,0.692,8.241,-5.073,0.722,8.362,-0.209,-0.015,0.06,10.2,-12,-15.9,18.189,72.7,3.8,-22.8,279.4,-4.2,32.1,57.67
-5.093,0.694,8.257,-4.98,0.722,8.417,-0.22,-0.012,0.021,8.2,-10,-14.3,18.189,77,6.7,-34.7,284,-4.2,30.6,57.67
-5.003,0.718,8.184,-4.899,0.712,8.466,-0.209,0.022,-0.101,6.4,-9.5,-13.9,21.979,78.4,8.2,-39.5,285.5,-4.2,30.1,57.67
-4.636,0.628,8.395,-4.672,0.693,8.594,-0.063,-0.051,-0.017,10.4,-15.7,-19.5,24.253,79.3,9.4,-43.9,287.1,-4.1,29.4,57.67
-4.662,0.73,8.669,-4.522,0.703,8.673,-0.222,0.04,0.153,11.6,-19.5,-18.5,27.453,80.2,11.3,-51.1,289.6,-4.1,27.5,54.61
-4.341,0.768,8.757,-4.204,0.737,8.829,-0.204,0.043,0.069,11.6,-16.4,-18,27.453,80.5,12.2,-54.2,290.4,-4.2,26.4,54.61
-4.215,0.651,8.914,-4.084,0.75,8.884,-0.186,-0.089,0.148,10.5,-12.1,-17.6,32.168,81.1,14.2,-59.9,293.1,-4.4,24.7,54.61
-4.005,0.578,8.867,-3.998,0.732,8.925,-0.086,-0.21,-0.119,7.7,-10,-18.8,36.211,81.2,15,-62.4,294,-4.3,24.1,52.73
-4.065,0.632,8.96,-3.861,0.655,8.991,-0.248,-0.015,0.072,-0.2,-8,-8.6,36.211,80.8,16.1,-66.2,294.6,-3.8,23.2,52.73
-4.051,0.651,8.569,-3.796,0.605,9.022,-0.311,0.055,-0.32,4.1,-9.1,-12,38.905,80.4,16.9,-67.6,295.9,-3.6,23,52.73
-3.867,0.72,8.883,-3.701,0.618,9.06,-0.219,0.112,-0.049,6.1,-15.2,-12.8,40.674,79.5,17.9,-69.6,297.1,-3.6,22.2,49.51
-3.548,0.504,9.269,-3.572,0.638,9.111,-0.2,0.117,-0.009,6.7,-14.9,-15.5,43.116,79,18.3,-70.1,296.6,-3.7,21.4,49.51
-3.506,0.568,9.086,-3.368,0.622,9.189,-0.171,-0.048,-0.014,8,-7.8,-21.7,43.116,77.8,19.2,-71.9,297.2,-3.6,20.1,49.51
-3.296,0.709,8.838,-3.306,0.63,9.211,-0.032,0.087,-0.256,7.1,-8.8,-21.8,45.474,77.8,19.6,-72.8,298.1,-3.7,19.7,49.51
-3.022,0.423,9.35,-2.973,0.587,9.327,-0.09,-0.156,0.151,7,-19,-23.2,47.158,77.2,21.1,-76.1,298,-3.4,17.7,55.24
-2.837,0.392,9.519,-2.794,0.578,9.382,-0.08,-0.179,0.261,4.7,-16.1,-16.5,48.589,77.4,22,-78.4,298.2,-3.4,16.6,55.24
-2.42,0.53,9.34,-2.447,0.561,9.48,-0.004,-0.024,-0.023,1.9,-19.9,-6.9,48.589,77.9,24.2,-83.5,298.6,-3.3,14.5,55.24
-2.242,0.601,9.364,-2.199,0.561,9.541,-0.07,0.047,-0.059,2.3,-25.7,-9.9,47.411,78.1,25.2,-85.8,299.7,-3.3,14.5,52.5
