ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),SOUND LEVEL (dB)
0.16,-0.175,9.769,0.204,-0.165,9.803,-0.043,-0.01,-0.003,0,-0.4,-3.8,25.937,-12.1,13.1,-40.7,42.2,1,-1.2,42.16
0.141,-0.144,9.819,0.202,-0.161,9.803,-0.06,0.017,0.042,0,-0.4,-5.3,25.6,-12.4,13.2,-40.2,42.2,0.9,-1.2,42.16
0.241,-0.179,9.802,0.216,-0.157,9.803,0.026,-0.023,0.027,0.2,-0.4,-8.4,25.853,-12.7,13.1,-39.7,44.5,0.9,-1.2,42.16
0.174,-0.158,9.776,0.217,-0.154,9.803,-0.042,-0.004,0.001,0,-0.4,-6.7,25.853,-13.2,13.1,-38.1,44.4,0.9,-1.3,43.28
0.046,-0.16,9.769,0.19,-0.146,9.804,-0.143,-0.015,0.004,0.2,-0.5,-8.4,25.853,-13.5,13.3,-37.5,44.5,0.9,-1.2,43.28
0.182,-0.108,9.7,0.195,-0.139,9.804,-0.012,0.031,-0.058,-0.1,-0.4,-8.8,26.021,-14.1,13.6,-35.9,44.6,0.8,-1.1,43.28
0.327,-0.134,9.764,0.226,-0.14,9.803,0.102,0.005,-0.003,0,-0.4,-4.5,26.021,-14.4,13.7,-34.9,44.5,0.8,-1.2,45.24
0.201,-0.165,9.738,0.228,-0.142,9.803,-0.026,-0.024,-0.025,0,-0.4,-2.8,26.189,-14.3,14.2,-33.4,44.4,0.8,-1.3,45.24
0.196,-0.213,9.84,0.224,-0.152,9.803,-0.027,-0.061,0.072,0,-0.4,-5.2,26.105,-14.2,14,-32.6,44.5,0.9,-1.3,45.24
0.139,-0.075,9.805,0.22,-0.142,9.803,-0.08,0.067,0.033,0.1,-0.4,-6.2,26.274,-14,14.4,-31.1,44.5,0.8,-1.3,46.56
