ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),SOUND LEVEL (dB)
-0.111,-1.067,9.669,-0.038,-1.024,9.753,-0.074,-0.051,-0.003,-1.8,-1.7,5.5,17.095,24.5,-15.2,1.9,238.5,5.9,0.2,40.61
0.16,-1.122,9.683,-0.003,-1.056,9.75,0.163,-0.074,0.012,-2.2,-2,5.1,17.011,24.7,-15.4,2,239.5,6.2,0,40.61
-0.025,-1.089,9.647,0.037,-1.112,9.743,-0.063,0.015,-0.021,-3,-2.6,2.9,16.926,24.8,-15.3,2.3,239.6,6.3,-0.1,40.61
0.07,-1.205,9.7,0.067,-1.156,9.738,0.003,-0.057,0.031,-3.5,-2.9,1.2,16.505,25.1,-15.5,2.8,239.8,6.8,-0.4,40.8
0.153,-1.186,9.793,0.103,-1.191,9.733,0.05,-0.002,0.115,-2.9,-2.6,1,16.505,25.3,-15.2,3.1,239.9,7,-0.6,40.8
0.098,-1.191,9.945,0.133,-1.236,9.728,-0.034,0.04,0.256,-1.2,-1.4,4,16.505,25.4,-15.1,3.7,240.1,7.2,-0.8,40.8
0.255,-1.334,9.724,0.208,-1.307,9.717,0.048,-0.033,0.049,-1.4,-6.8,1.4,16.253,25.5,-15.1,3.8,240.2,7.5,-0.9,40.92
0.465,-1.377,9.628,0.335,-1.33,9.71,0.132,-0.053,-0.036,-1.4,-12.3,-2.2,16.421,25.5,-15.2,3.8,240.2,7.8,-2,40.92
0.591,-1.289,9.802,0.504,-1.352,9.7,0.125,-0.045,-0.037,-1.5,-15.7,-4.8,16.421,25.5,-15.4,3.5,240.3,7.9,-3,40.92
0.693,-1.284,9.795,0.823,-1.364,9.676,-0.128,0.078,0.137,-2.3,-12.7,-5.5,17.516,25.2,-15.2,2.5,240.2,8,-4.9,41.34
0.989,-1.277,9.738,0.957,-1.37,9.663,0.032,0.092,0.084,-1.7,-9.3,-2.5,17.516,25,-15.1,2.1,240,8,-5.7,41.34
1.112,-1.415,9.224,1.201,-1.419,9.629,-0.081,-0.005,-0.341,-0.5,-12.5,0.2,18.105,24.8,-14.9,0.8,240,8.3,-7.1,41.34
1.329,-1.322,9.988,1.331,-1.392,9.616,0,0.068,0.391,2.5,-11.8,-0.3,19.284,24.9,-14.6,0.2,239.9,8.2,-7.9,40.43
1.572,-1.538,9.495,1.589,-1.417,9.573,-0.013,-0.125,-0.051,-1.8,-15.2,2.7,20.547,24.7,-14,-0.6,241.6,8.3,-9.4,40.43
1.75,-1.393,9.476,1.761,-1.429,9.541,-0.005,0.031,-0.033,-0.2,-16.1,0.9,21.811,24.6,-13.6,-1.1,241.7,8.4,-10.5,40.43
2.019,-1.396,9.405,2.061,-1.401,9.485,-0.037,0.002,-0.056,-0.6,-12,-4,21.811,24.8,-13,-2.3,243.5,8.2,-12.3,40.43
2.093,-1.367,9.371,2.195,-1.384,9.457,-0.094,0.012,-0.053,1.9,-12.6,-4.5,22.737,25,-12.7,-2.6,243.5,8.1,-13.1,40.95
2.56,-1.291,9.388,2.52,-1.27,9.392,0.043,-0.022,0.007,3.7,-13.3,-5.3,24.758,25,-12.2,-3.4,245.4,7.4,-15,40.95
2.648,-1.246,9.119,2.67,-1.215,9.358,-0.018,-0.033,-0.224,3.5,-12.4,-6.2,26.274,25.1,-12,-3.9,245.4,7.1,-15.9,40.95
2.867,-1.12,9.145,2.922,-1.105,9.296,-0.051,-0.016,-0.137,2,-10.3,-4.3,26.274,25.1,-11.7,-4.9,245.4,6.5,-17.5,40.72
2.767,-1.117,9.109,3.007,-1.077,9.272,-0.229,-0.044,-0.127,2.3,-8.4,-2.8,27.537,24.8,-11.5,-5.6,247.3,6.3,-18,40.72
3.248,-1.055,9.162,3.228,-0.969,9.209,0.03,-0.089,-0.016,6.7,-13.5,-2.9,29.726,24.8,-11,-6.7,247.4,5.7,-19.3,40.72
3.369,-0.917,9.071,3.397,-0.887,9.157,-0.015,-0.034,-0.048,7.2,-17.2,-3.9,29.726,24.7,-11,-7.4,247.4,5.2,-20.4,40.88
3.8,-0.732,9.033,3.751,-0.699,9.034,0.056,-0.034,0.016,4.1,-12,-0.6,32.505,24.3,-10.6,-8.7,246.9,4.1,-22.5,40.88
3.752,-0.677,8.983,3.859,-0.662,8.991,-0.1,-0.016,0.009,2.2,-8.7,-0.9,34.021,24.2,-10.7,-9.2,247,3.9,-23.2,40.88
3.928,-0.679,8.724,4.053,-0.602,8.91,-0.107,-0.079,-0.148,4,-11.9,-3.4,34.863,24.1,-10.7,-10.6,247.4,3.5,-24.5,41.58
4.128,-0.56,8.871,4.183,-0.535,8.854,-0.039,-0.027,0.052,5.8,-13.9,-4.8,34.863,23.7,-10.7,-11.1,247.4,3.1,-25.3,41.58
4.402,-0.327,8.705,4.48,-0.389,8.715,-0.065,0.061,0.015,2.2,-14.3,-6.4,36.042,23.4,-10.8,-11.8,247,2.7,-26.2,41.58
4.488,-0.322,8.75,4.58,-0.345,8.665,-0.082,0.022,0.105,0.2,-7.4,-4.7,36.379,23.1,-10.8,-13,247.4,2,-27.9,41.58
4.745,-0.358,8.483,4.741,-0.301,8.579,0.018,-0.058,-0.07,0.8,-10,-5.8,35.874,22.6,-10.6,-13.9,247.7,1.8,-28.9,41.44
5.045,-0.403,8.543,4.85,-0.275,8.519,0.201,-0.128,0.036,1.1,-8.2,-5.7,35.874,22.2,-10.6,-14.5,247,1.6,-29.7,41.44
4.973,-0.232,8.381,5.093,-0.241,8.377,-0.106,0.008,0.026,-1,-15.1,-2.1,35.284,22.2,-10.9,-15.4,247.5,1.4,-31.3,41.44
5.095,-0.115,8.257,5.227,-0.223,8.295,-0.114,0.107,-0.008,-1.4,-14.2,-3.3,33.937,21.8,-10.9,-15.8,247.9,1.3,-32.2,41.23
5.192,-0.227,8.253,5.397,-0.214,8.185,-0.189,-0.013,0.092,-1.1,-6.9,-2.6,33.937,21.1,-11.1,-16.3,247.3,1.3,-33.4,41.23
5.271,-0.325,8.212,5.444,-0.223,8.154,-0.156,-0.102,0.084,-2.1,-6.6,-3.7,32.842,21,-11.2,-16.7,247.7,1.3,-33.7,41.23
5.483,-0.31,8.103,5.575,-0.233,8.065,-0.076,-0.078,0.062,-3.4,-7.5,-5.4,31.747,20.8,-11.2,-17,247.7,1.4,-34.7,40.88
5.509,-0.332,8.06,5.63,-0.242,8.026,-0.104,-0.09,0.058,-3.6,-6.5,-5.5,30.316,20.4,-11,-17,247.1,1.4,-35,40.88
5.595,-0.196,8.003,5.719,-0.226,7.963,-0.106,0.03,0.065,-4.7,-4.6,-7.2,30.316,20.3,-10.9,-16.7,247.1,1.3,-35.7,40.88
5.706,-0.217,7.91,5.761,-0.221,7.933,-0.035,0.003,0.004,-6,-4.8,-9.2,27.958,20.2,-10.9,-16.9,247.1,1.3,-36,41.36
5.799,-0.26,7.969,5.825,-0.212,7.886,-0.015,-0.049,0.098,-9.7,-5.2,-14.4,25.6,20,-10.4,-16.7,249,1.2,-36.4,41.36
5.854,-0.255,7.774,5.903,-0.21,7.828,-0.034,-0.046,-0.035,-12.8,-11.2,-18.5,25.6,19.7,-10.4,-16.6,249.1,1.2,-37,41.36
6.018,-0.239,7.629,6.096,-0.212,7.679,-0.058,-0.028,-0.025,-15.8,-10.8,-21.4,20.379,18.8,-9.5,-16.5,248,1.2,-38.4,41.36
6.218,-0.234,7.448,6.209,-0.207,7.588,0.034,-0.028,-0.109,-16.5,-11.6,-21.9,15.158,18.4,-9,-16.2,249.5,1.2,-39.3,43.27
6.323,-0.344,7.493,6.363,-0.214,7.459,-0.018,-0.131,0.06,-14.4,-5.1,-18.1,12.463,17.5,-7.7,-15.5,251.2,1.2,-40.5,43.27
6.273,-0.255,7.508,6.402,-0.212,7.426,-0.108,-0.045,0.107,-13.2,-6.6,-16.3,12.463,17,-7.1,-14.9,252.8,1.2,-40.8,43.27
6.523,-0.272,7.369,6.542,-0.205,7.302,-0.003,-0.068,0.086,-10.4,-7.8,-12.4,11.368,16.5,-6.4,-14.3,254.2,1.2,-41.3,43.03
6.563,-0.082,7.265,6.62,-0.187,7.233,-0.04,0.105,0.05,-10.9,-11.2,-12.4,10.695,15.4,-5.3,-13.1,255.9,1.1,-42.5,43.03
6.73,-0.134,6.917,6.826,-0.177,7.038,-0.079,0.042,-0.103,-12.9,-16,-13.8,10.021,14.7,-4.9,-12.5,255.4,1.1,-43.2,43.03
6.887,-0.21,6.977,6.932,-0.178,6.935,-0.029,-0.033,0.058,-15.4,-10.7,-16.1,10.021,13,-4.3,-11.4,256.8,1,-45,42.57
