ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),SOUND LEVEL (dB)
0.246,-0.07,9.752,0.219,-0.081,9.804,0.028,0.011,-0.005,0,0,0,6.737,12,193.9,-472.2,353.2,0.5,-1.3,38.06
0.191,-0.082,9.747,0.216,-0.08,9.804,-0.024,-0.002,-0.009,0,0,-0.1,6.484,12.1,193.9,-472.1,353.3,0.5,-1.3,38.63
0.222,-0.096,9.693,0.217,-0.082,9.804,0.007,-0.014,-0.057,0,0,-0.1,6.484,12.1,193.9,-472,353.3,0.5,-1.3,38.63
0.217,-0.072,9.733,0.217,-0.076,9.804,0.001,0.004,-0.016,0.1,0,-0.1,6.484,11.8,193.5,-472.2,353.2,0.4,-1.3,38.63
0.208,-0.065,9.745,0.216,-0.074,9.804,-0.007,0.009,-0.004,0.1,0,0,6.653,11.8,193.3,-472.1,353.3,0.4,-1.3,39.01
0.227,-0.07,9.786,0.218,-0.073,9.804,0.01,0.002,0.035,0,0,-0.1,6.232,11.8,193.3,-472.2,353.3,0.4,-1.3,39.01
0.186,-0.082,9.821,0.214,-0.073,9.804,-0.027,-0.009,0.063,0,0,0,6.232,11.6,193.1,-472.1,353.3,0.4,-1.3,39.01
0.205,-0.084,9.736,0.213,-0.075,9.804,-0.007,-0.01,-0.018,0,0,-0.1,6.232,11.5,193.1,-472.2,353.6,0.4,-1.3,38.58
0.22,-0.065,9.807,0.214,-0.074,9.804,0.007,0.008,0.048,0,0,0,6.147,11.2,193.1,-472.2,353.6,0.4,-1.2,38.58
0.196,-0.103,9.795,0.209,-0.078,9.804,-0.012,-0.025,0.03,0,0,-0.1,6.147,11.6,193.4,-472.1,353.3,0.4,-1.2,38.58
0.227,-0.101,9.764,0.211,-0.081,9.804,0.017,-0.02,-0.001,0,0,-0.1,6.147,11.8,193.6,-471.9,353.4,0.5,-1.2,39.05
0.26,-0.084,9.778,0.215,-0.08,9.804,0.046,-0.004,0.016,0,0.1,-0.1,6.063,11.6,193.7,-471.9,353.4,0.5,-1.2,39.05
0.208,-0.098,9.774,0.214,-0.082,9.804,-0.005,-0.017,0.01,0,0,-0.1,6.4,11.8,193.9,-472.1,353.3,0.5,-1.2,39.05
0.196,-0.084,9.766,0.212,-0.082,9.804,-0.015,-0.002,0.011,0,0,0,6.4,11.8,193.7,-472,353.3,0.5,-1.3,39.05
0.213,-0.091,9.747,0.212,-0.083,9.804,0.002,-0.009,-0.007,0,0,0,5.979,11.7,193.4,-471.9,353.3,0.5,-1.2,38.26
0.224,-0.077,9.757,0.214,-0.083,9.804,0.023,-0.006,0.015,0,0,0,6.232,11.6,193.4,-472.1,353.3,0.5,-1.3,38.26
0.222,-0.053,9.766,0.215,-0.079,9.804,0.008,0.025,0.009,0,0.1,-0.1,6.232,11.5,193.7,-472.1,353.3,0.5,-1.3,38.26
0.229,-0.056,9.828,0.216,-0.076,9.804,0.014,0.02,0.063,0,0.1,0,6.232,11.6,193.9,-471.9,353.3,0.4,-1.3,38.41
0.227,-0.063,9.755,0.217,-0.074,9.804,0.011,0.011,-0.008,0,0,-0.1,6.063,11.4,194,-472.1,353.6,0.4,-1.3,38.41
0.196,-0.06,9.788,0.214,-0.072,9.804,-0.017,0.012,0.022,0,0.1,0,6.232,11,194.2,-472.2,353.6,0.4,-1.3,38.41
0.203,-0.089,9.755,0.209,-0.072,9.804,-0.005,-0.017,-0.009,0,0,-0.1,6.232,11.3,194.3,-471.9,353.7,0.4,-1.2,39.01
0.253,-0.056,9.733,0.214,-0.07,9.804,0.04,0.014,-0.027,0,0,-0.1,6.147,11.3,194.2,-472,353.6,0.4,-1.2,39.01
0.232,-0.063,9.695,0.213,-0.07,9.804,0.02,0.007,-0.052,0,0,0,6.232,11,194,-472,353.6,0.4,-1.2,39.01
0.227,-0.079,9.755,0.214,-0.071,9.804,0.014,-0.009,0.007,0,0,0,6.147,11.1,193.9,-472,353.6,0.4,-1.3,38.09
0.248,-0.084,9.795,0.215,-0.071,9.804,0.035,-0.014,0.046,0,0,-0.1,6.147,11.5,193.8,-472.1,353.6,0.4,-1.3,38.09
0.189,-0.06,9.726,0.212,-0.069,9.804,-0.022,0.009,-0.021,0,0,-0.1,6.232,11.5,194.1,-472.2,353.6,0.4,-1.3,38.09
0.244,-0.084,9.788,0.213,-0.072,9.804,0.032,-0.012,0.033,0,0.1,-0.1,6.4,11.5,193.8,-472.3,353.6,0.4,-1.2,39.07
0.186,-0.103,9.778,0.209,-0.075,9.804,-0.022,-0.028,0.021,0,0.1,-0.1,6.232,11.8,193.8,-472.3,353.4,0.4,-1.2,39.07
